escola;cidade;depadministrativa;lab;computador;tablet;internet;
Escola Estadual Indígena Fulni-ô Marechal Rondon;Águas Belas;Estadual;Sim;Não;Sim;Não;
Escola Estadual Indígena Fulni-ô Ambrósio Pereira Júnior;Águas Belas;Estadual;Não;Não;Não;Não;
EREM Cel Nicolau Siqueira ;Águas Belas;Estadual;Sim;Não;Sim;Sim;
EREM João Rodrigues Cardoso;Águas Belas;Estadual;Sim;Sim;Não;Não;
EREM Azarias Salgado;Angelim;Estadual;Sim;Sim;Não;Sim;
EREM Professora Ismênia Lemos Wanderley;Brejão ;Estadual;Sim;Não;Sim;Sim;
EREM Luiz Pereira Junior ;Caetés;Estadual;Não;Não;Não;Não;
Escola Padre Antônio Callou De Alencar;Canhotinho;Estadual;Sim;Não;Sim;Sim;
Escola De Referencia Em Ensino Médio Jerônimo Gueiros;Canhotinho;Estadual;Sim;Sim;Não;Não;
EREM Padre Antonio Barbosa Junior;Jurema ;Estadual;Sim;Não;Sim;Sim;
EREM Abílio Monteiro;Lagoa do Ouro;Estadual;Sim;Não;Sim;Sim;
Escola De Referência Em Ensino Médio Deolinda Amaral;Lajedo;Estadual;Sim;Não;Sim;Não;
Escola Jornalista Manuel Amaral;Lajedo;Estadual;Sim;Não;Sim;Não;
Escola Técnica Estadual Antonio Dourado Cavalcanti;Lajedo;Estadual;Sim;Sim;Não;Sim;
EREM Regina Pacis;Palmeirina;Estadual;Sim;Não;Sim;Sim;
EREM Narciso Correia;Paranatama ;Estadual;Sim;Sim;Não;Sim;
EREM José Do Patrocínio Mota;São Bento do Una;Estadual;Sim;Não;Sim;Sim;
EREM Rodolfo Paiva;São Bento do Una;Estadual;Sim;Sim;Não;Sim;
EREM João Fernandes Da Silva;São João;Estadual;Sim;Sim;Não;Sim;
EREM Monsenhor Alfredo Dâmaso;Terezinha ;Estadual;Sim;Não;Sim;Sim;
Escola Municipal Atalibal Victor;Correntes ;Municipal;Sim;Sim;Não;Não;
Colégio Normal Municipal Dr Antenor Alves Pedrosa;Correntes ;Municipal;Sim;Sim;Não;Não;
Escola Municipal Edite Porto Mendonça De Barros;Canhotinho;Municipal;Sim;Sim;Não;Não;
Escola Municipal Júlia Rodrigues Torres;Canhotinho;Municipal;Sim;Sim;Não;Não;
Escola Municipal Cícero Sátiro De Oliveira;Canhotinho;Municipal;Sim;Sim;Não;Não;
Escola Municipal Bulandeira;Canhotinho;Municipal;Sim;Sim;Não;Não;
Escola Municipal José Sizenando Henrique Lira;Canhotinho;Municipal;Sim;Sim;Não;Não;
Escola Municipal Mínima;Canhotinho;Municipal;Sim;Sim;Não;Não;
Escola Municipal João Vitalino De Melo;Canhotinho;Municipal;Sim;Sim;Não;Não;
Escola Municipal Pedro Cipriano Dos Santos;Canhotinho;Municipal;Sim;Sim;Não;Não;
